locale_id,title,id_imdb,genre_imdb
1,Toy Story (1995),tt0114709,Animation|Adventure|Comedy|Family|Fantasy
2,GoldenEye (1995),tt0113189,Action|Adventure|Thriller
3,Four Rooms (1995),tt0113101,Comedy
4,Get Shorty (1995),tt0113161,Comedy|Crime|Thriller
5,Copycat (1995),tt0112722,Drama|Mystery|Thriller
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),tt0115012,Crime|Drama|History|Romance|Thriller
7,Twelve Monkeys (1995),tt0114746,Mystery|Sci-Fi|Thriller
8,Babe (1995),tt0112431,Comedy|Drama|Family
9,Dead Man Walking (1995),tt0112818,Crime|Drama
10,Richard III (1995),tt0114279,Drama|Sci-Fi|War
11,Seven (Se7en) (1995),tt0114369,Crime|Drama|Mystery|Thriller
12,"Usual Suspects, The (1995)",tt0114814,Crime|Drama|Mystery|Thriller
13,Mighty Aphrodite (1995),tt0113819,Comedy|Drama|Fantasy|Romance
14,"Postino, Il (1994)",,
15,Mr. Holland's Opus (1995),tt0113862,Drama|Music
16,French Twist (Gazon maudit) (1995),tt0113149,Comedy
17,From Dusk Till Dawn (1996),tt0116367,Action|Crime|Horror
18,"White Balloon, The (1995)",tt0112445,Drama|Family
19,Antonia's Line (1995),tt0112379,Comedy|Drama
20,Angels and Insects (1995),tt0112365,Drama|Romance
21,Muppet Treasure Island (1996),tt0117110,Action|Adventure|Comedy|Family|Musical|Romance
22,Braveheart (1995),tt0112573,Biography|Drama|History|War
23,Taxi Driver (1976),tt0075314,Crime|Drama
24,Rumble in the Bronx (1995),tt0113326,Action|Comedy|Crime|Thriller
25,"Birdcage, The (1996)",tt0115685,Comedy
26,"Brothers McMullen, The (1995)",tt0112585,Comedy|Drama|Romance
27,Bad Boys (1995),tt0112442,Action|Comedy|Crime|Thriller
28,Apollo 13 (1995),tt0112384,Adventure|Drama|History
29,Batman Forever (1995),tt0112462,Action|Adventure
30,Belle de jour (1967),,
31,Crimson Tide (1995),tt0112740,Action|Drama|Thriller|War
32,Crumb (1994),tt0109508,Documentary|Biography|Comedy|Drama
33,Desperado (1995),tt0112851,Action|Crime|Thriller|Western
34,"Doom Generation, The (1995)",tt0112887,Comedy|Crime|Drama
35,Free Willy 2: The Adventure Home (1995),tt0113114,Adventure|Drama|Family
36,Mad Love (1995),tt0113729,Comedy|Drama|Romance
37,Nadja (1994),tt0110620,Drama|Horror
38,"Net, The (1995)",tt0113957,Action|Crime|Drama|Mystery|Thriller
39,Strange Days (1995),tt0114558,Crime|Drama|Sci-Fi|Thriller
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",tt0114682,Comedy|Drama
41,Billy Madison (1995),tt0112508,Comedy
42,Clerks (1994),tt0109445,Comedy
43,Disclosure (1994),tt0109635,Drama|Thriller
44,Dolores Claiborne (1994),tt0109642,Crime|Drama|Mystery|Thriller
45,Eat Drink Man Woman (1994),tt0111797,Comedy|Drama|Romance
46,Exotica (1994),tt0109759,Drama
47,Ed Wood (1994),tt0109707,Biography|Comedy|Drama
48,Hoop Dreams (1994),tt0110057,Documentary|Drama|Sport
49,I.Q. (1994),tt0110099,Comedy|Romance
50,Star Wars (1977),tt0076759,Action|Adventure|Fantasy|Sci-Fi
51,Legends of the Fall (1994),tt0110322,Drama|Romance|War|Western
52,"Madness of King George, The (1994)",tt0110428,Biography|Comedy|Drama|History
53,Natural Born Killers (1994),tt0110632,Action|Crime|Drama
54,Outbreak (1995),tt0114069,Action|Drama|Thriller
55,"Professional, The (1994)",tt0082949,Action|Crime|Drama|Thriller
56,Pulp Fiction (1994),tt0110912,Crime|Drama
57,Priest (1994),tt0110889,Drama|Romance
58,Quiz Show (1994),tt0110932,Biography|Drama|History
59,Three Colors: Red (1994),tt0111495,Drama|Mystery|Romance
60,Three Colors: Blue (1993),tt0108394,Drama|Music|Mystery|Romance
61,Three Colors: White (1994),tt0111507,Comedy|Drama|Romance
62,Stargate (1994),tt0111282,Action|Adventure|Sci-Fi
63,"Santa Clause, The (1994)",tt0111070,Comedy|Drama|Family|Fantasy
64,"Shawshank Redemption, The (1994)",tt0111161,Drama
65,What's Eating Gilbert Grape (1993),tt0108550,Drama
66,While You Were Sleeping (1995),tt0114924,Comedy|Drama|Romance
67,Ace Ventura: Pet Detective (1994),tt0109040,Comedy
68,"Crow, The (1994)",tt0109506,Action|Crime|Drama|Fantasy|Horror|Thriller
69,Forrest Gump (1994),tt0109830,Drama|Romance
